file_name,language,gender,dialect,text,speaker_id,line_id
7457246003.wav,French,Female,Belgium,"L'assiette est encore pleine, son éternelle Il te faudrait une bonne guerre était l'habituelle introduction à des après-midi entiers à l'écouter. Je pourrais passer des heures à vous la décrire dans les moindres détails. Des aquafures toujours impeccables au bouton perlé de son gilet bleu ciel.",FBF74572,7457246003
7457255411.wav,French,Female,Belgium,"Mais j'aimerais vous laisser la liberté de l'imaginer. Parce que Marguerite était ma grand-mère, mais elle aurait pu être la vôtre aussi. Alors ici, j'ai choisi de vous partager un bout de son histoire. Et puis surtout, sa voix.",FBF74572,7457255411
7457234937.wav,French,Female,Belgium,"J'ai contacté toutes les associations d'anciens combattants sur le territoire belge, ainsi que les archives de l'État. Mais finalement, je retrouve l'archive vidéo dans un tiroir très bien rangé chez mes parents. Ah oui, Constance, c'est moi. Je suis donc la petite fille de Marguerite.",FBF74572,7457234937
7457281969.wav,French,Female,Belgium,"Grâce à cet enregistrement, je découvre les images de Marguerite. Elle est là, comme je l’ai toujours connue. Franche, directe, mais toujours polie, elle reste fidèle à elle même. Du haut de ses 85 ans, il y a une certaine malice dans les yeux de Marguerite. Bien droite, la coiffure toujours impeccable, elle rit de bon cœur et raconte son histoire comme une série d'anecdotes. Tantôt drôle, tantôt grave.",FBF74572,7457281969
7457267504.wav,French,Female,Belgium,"En plus de cet enregistrement, j'ai aussi retrouvé trois valises avec des objets, des bouts de tissus, des photos, des décorations, des drapeaux belges pliés en cinq et vraiment plein, plein de papiers. Des attestations, des documents officiels, des télégrammes, des cartes postales, des lettres, mais vraiment beaucoup de lettres. Certaines datent de 1943, d'autres plus tard.",FBF74572,7457267504
7457297108.wav,French,Female,Belgium,"La voix de Marguerite comme file conducteur et les valises de papiers pour compléter le reste. Je ne cherche rien en particulier puisque l'histoire, je la connais, j'ai grandi avec. Alors comme un grand puzzle, je m'essaye à rassembler toutes les pièces de l'histoire, de l'histoire de ma famille et de mon histoire aussi, en fait.",FBF74572,7457297108
7457297030.wav,French,Female,Belgium,"Je retrouve une photo de Marguerite, portant une jolie robe avec une broche en forme d'oiseau qui s'envole. Les mains croisées dans le dos, Marguerite a 25 ans, elle se tient sagement debout dans le jardin de la maison familiale à Jolimont, petite ville dans la province du Hainaut, en Belgique.",FBF74572,7457297030
7457295946.wav,French,Female,Belgium,"Se marier avec le pharmacien du coin. C'est un peu le récit attendu pour une jolie fille de la fin des années 30. Or, du haut de son petit mètre soixante et de ses 20 ans, Marguerite est contre toute attente, très indépendante pour son époque.",FBF74572,7457295946
7457282653.wav,French,Female,Belgium,"Elle est modiste, entrepreneuse, et à la tête de plusieurs couturières, elle dirige une boutique et un atelier de fabrication de chapeaux. Alors ça m'amuse un peu parce que non, je vous le donne en mille, le destin de Marguerite ne s'arrêtera donc pas à se marier avec le pharmacien du coin. A cette époque, ce que Marguerite aime plus que tout, c'est sa famille, ses chapeaux, et son magasin.",FBF74572,7457282653
7457291354.wav,French,Female,Belgium,"Et l'heureux élu s'appelle Joseph. Né en 1914 à Faille-les-Manages, il travaille avec son père dans une corderie qui fabrique les câbles pour des ascenseurs, notamment pour les mines à charbon. Leur rencontre restera un mystère. Tout ce qu'on sait, c'est qu'ils se fiancent à la fin des années 30.",FBF74572,7457291354
7457265307.wav,French,Female,Belgium,"Même si je connais l'histoire grosso modo, j'ai fait des vraies trouvailles dans ces vieilles valises. L'une des belles surprises retrouvées, un petit manuscrit titré Souvenirs d'un résistant. À l'intérieur, tout est tapé à la machine. Les paragraphe se succèdent sans pause. Ça respire peu.",FBF74572,7457265307
7457266619.wav,French,Female,Belgium,"Sur la couverture, je lis un petit mot écrit à l'encre rouge. À mon ami jeunesse. Ok, mais qui est ce jeunesse? Jamais entendu parler. Bon, je verrai ça plus tard. J'embarque le cahier dans mon sac et j'entame la lecture d'une traite de ce qui deviendra l'une de mes sources principales.",FBF74572,7457266619
7457256743.wav,French,Female,Belgium,"À la fin de ce manuscrit, une dédicace, avec la même écriture à l'encre rouge. À mon ami Jeunasse, en souvenir des heures exaltantes passées ensemble, à notre profond amitié. Ce manuscrit d'une soixantaine de pages relate les souvenirs d'un saboteur, Jean, camarade de guerre de Joseph, ou Jeunasse, apparemment.",FBF74572,7457256743
7457267436.wav,French,Female,Belgium,"Joseph, celui que rien n'arrête donc. À son retour, pas une minute à perdre. Joseph entre au service de la ligne de 101, France combattante, du groupe La Galice de Faille-les-Manages et de la Légion belge qui deviendra plus tard l'Armée secrète.",FBF74572,7457267436
7457263003.wav,French,Female,Belgium,"Au début de 1942, Joseph forme le noyau de l'armée belge des partisans du centre. Il ne s'appelle plus Joseph, mais répond dorénavant sous un nom de Guerre, Jeunesse. Sous cette nouvelle identité et son rôle d'artificier, il distribue des journaux clandestins, transporte des armes et des explosifs et effectue de nombreux sabotages.",FBF74572,7457263003
7457230049.wav,French,Female,Belgium,"Et voilà, tout simplement. On se sent même bête d'avoir pensé à se poser la question. Né dans une maison patriote, jeune femme indépendante et en plus amoureuse d'un Joseph résistant endiablée, Marguerite s'engage aussi dans la résistance en 1942.",FBF74572,7457230049
7996193195.wav,French,Female,Belgium,"À trois reprises, Véronique Courjault est donc enceinte. À trois reprises, elle accouche. Et à trois reprises, elle tue. Seule, toujours seule. Mais quand elle tue, Véronique n'a pas l'impression de tuer ses enfants. Non, elle éteint des bouts de chair, des bouts d'elle-même finalement.",FBF79961,7996193195
7996134626.wav,French,Female,Belgium,"Elle sait qu'elle est enceinte, mais ce ne sont pas des accouchements qu'elle vit. Elle a deux grands-fils, elle sait ce que c'est que d'accoucher. Dans sa tête, dans son corps, pour ces trois-là, c'est différent. Quand j'ai découvert cette affaire, que je racontais la triste histoire de cette femme autour de moi, personne ne semblait la connaître. Et puis ensuite, je disais, mais si tu sais, c'est des bébés congelés. Et là, les regards s'éclairaient.",FBF79961,7996134626
7996148064.wav,French,Female,Belgium,"C'est ça qu'on a retenu de Véronique, qu'elle avait conservé les corps de ses nouveaux-nés dans le congélateur familial. C'est ça que les médias ont mis en avant. Et c'est là que l'histoire de Véronique Courjault est devenue l'affaire des bébés congelés.",FBF79961,7996148064
7996198093.wav,French,Female,Belgium,"Son procès, parce qu'il traite de l'une des figures emblématiques des femmes criminelles, à savoir des femmes infanticides, mais aussi parce qu'il expose les liens entre la criminalité des femmes et ce qui se passe dans leur corps, dans leur ventre, et bien ce procès incarne tous les enjeux que cette série de podcasts va explorer. Pour nous accompagner tout au long de ce récit, Julie Ancian, sociologue, et Ondine Millot, journaliste judiciaire et autrice.",FBF79961,7996198093
7996129092.wav,French,Female,Belgium,"Les tribunaux, je les connais depuis toute petite. Mon père était avocat, comme son père avant lui. Alors c'était pas des grands avocats, dans des grands cabinets, c'était des petits avocats de province, sans un coin perdu d'autres savoirs en France.",FBF79961,7996129092
7996121872.wav,French,Female,Belgium,"Un collègue à moi me disait que la justice, c'était un peu comme l'arrière cuisine de la société. Un endroit précaire, pas très beau, pas très propre, et qui tente de régler tout le bourbier citoyen bien à l'abri des regards. Les conflits judiciaires racontent les tensions, les torsions, les oppressions qui structurent nos sociétés.",FBF79961,7996121872
7996135369.wav,French,Female,Belgium,"Ou la menace? C'est pour tenter de répondre à ces questions que je me suis intéressée à des procès criminels où les femmes étaient coupables. Coupables ou du moins condamnées. Des affaires récentes ou pas, des procès médiatiques ou non. Mais tous sont des faits divers devenus faits de société. Huit épisodes pour huit procès et huit femmes.",FBF79961,7996135369
7996182798.wav,French,Female,Belgium,"Et pour commencer, débutons donc cette série avec l'histoire de Véronique Courjault et de son crime, l'un des plus emblématiques, les plus symboliques de la criminalité féminine. L'infanticide.",FBF79961,7996182798
7996133119.wav,French,Female,Belgium,"Pourtant, le cœur de l'affaire Courjault, ça n'est pas le crime, atroce évidemment. Mais non, c'est la coupable. Parce qu'elle ne se dédouane pas Véronique Courjault, parce qu'elle essaie d'expliquer et donc de comprendre ce qu'elle a fait, l'origine et le sens de sa violence.",FBF79961,7996133119
7996160199.wav,French,Female,Belgium,"Et parce que son histoire, c'est aussi celle d'une solitude, d'un désespoir que personne ne voulait ni voir ni entendre. Et c'est le procès qui donnerait à cette affaire une dimension intime et quasi historique. Un magistrat que j'avais rencontré à Nantes me disait souvent, Pour bien juger, il faut comprendre.",FBF79961,7996160199
7996163054.wav,French,Female,Belgium,"Et bien pendant longtemps, personne n'a cherché à comprendre ses femmes, comprendre ce qui pouvait amener une jeune mère qui vient d'accoucher, à étrangler, à étouffer, à tuer son bébé. Ni le public, ni les juges, ni les jurés. Qui d'ailleurs ont longtemps été composés uniquement d'hommes.",FBF79961,7996163054
7996172676.wav,French,Female,Belgium,"Et c'est au procès de Véronique que pour la première fois, en tout cas certainement d'une façon aussi publique et médiatique, et bien pour la première fois, on évoque les zones d'ombre de la maternité. Qu'on évoque la violence psychologique que cet événement physique, physiologique, soi-disant parfaitement naturel, peut pourtant engendrer chez certaines femmes. Pour la première fois, les mécanismes entourant le déni de grossesse sont évoqués et analysés devant une cour de justice.",FBF79961,7996172676
7996194058.wav,French,Female,Belgium,"Quand Véronique Courjault entre dans la salle d'audience de la Cour d'Assise de Tours, elle doit répondre de ses crimes et semble terrifiée par ce qu'il attend. Nous sommes le 9 juin 2009, elle est escortée jusqu'à son boxe transparent par des gendarmes. Son mari, Jean-Louis, et d'autres membres de sa famille, son père Robert, sa mère Monique, s'installent aussi au premier ranget de la salle, tout devant.",FBF79961,7996194058
7996173674.wav,French,Female,Belgium,"Dans un tribunal, les places au premier rang coûtent très cher. Privilege déconcerné. Dans la salle, le public et les journalistes se pressent. C'est que tout le monde veut savoir, pourquoi est-ce qu'elle a tué ses enfants? Et puis, surtout dans le fond, ce qui attise une curiosité un peu macabre, pourquoi les a-t-elle gardés dans son congélateur? Et puis, à quoi ça peut bien ressembler une mère qui tue ses bébés?",FBF79961,7996173674
7996124421.wav,French,Female,Belgium,"En tout cas, ca peut dire que, quand elle s'assoit dans son boxe, Véronique Courjault déçoit. Son visage est mince et long, elle a maigri depuis son arrestation. Elle a rassemblé ses cheveux bruns fin en une queue de cheval. Elle porte un cardigan couleur beige, une chemise gris claire, des couleurs neutres un peu ternes. Ses yeux tombent un peu. Elle a l'air triste et complètement perdue.",FBF79961,7996124421
7996139491.wav,French,Female,Belgium,"Elle fait toute petite là au milieu de cette salle, trop grande pour elle. Comme elle fait plus petite que ses crimes, trop grand pour elle aussi. Si vous n'avez jamais été dans une salle d'audience, il faut savoir qu'elle se ressemble toutes plus ou moins.",FBF79961,7996139491
7996186380.wav,French,Female,Belgium,"Dans la salle du tribunal de Tours, il y a des rangées de bancs à droite à gauche. Elles conduisent aux tables des avocats. En face de vous, sur le mur du fond, il y a une grande peinture murale en forme de demi-sphère qui surplombe l'estrade sur laquelle vont s'installer les juges et les jurés.",FBF79961,7996186380
7996199661.wav,French,Female,Belgium,"Sur la droite, entre l'estrade et la table des avocats, il y a un box. Le box des accusés, comme on dit. Il est encadré de parois de verre, avec Véronique Courjault à l'intérieur. En face du box des accusés, il y a l'avocat général. Dans l'affaire Courjault, il s'appelle Philippe Varin. Il représente et défend les intérêts de la société.",FBF79961,7996199661
7996140880.wav,French,Female,Belgium,"C'est lui qui demande la condamnation de l'accusé à telle ou telle peine. Il réquisitionne, comme on dit dans le jargon. Mais oui, si le vocabulaire judiciaire appartenait au langage courant, ça impressionnerait moins. Il en va de même pour les mots que pour l'architecture des tribunaux. Il faut que ça intimide. Et voilà donc la scène sur laquelle va se jouer la vie de Véronique Courjault.",FBF79961,7996140880
7996168776.wav,French,Female,Belgium,"Son process annonce violent, parce que sa personnalité est clivante, parce que ses crimes sont abominables, parce qu'ils électrisent le pays depuis presque deux ans. Au début de tout bon procès pénal, il y a des règles de procédure, des rituels juridiques très formels qui sont invariablement les mêmes. Quelques minutes passent, la cloche sonne, comme le protocole l'exige tout le monde se lève, et les juges et jurés arrivent.",FBF79961,7996168776
7996144067.wav,French,Female,Belgium,"Pour comprendre ce qui est arrivé à Véronique Courjault, il faut revenir trois ans en arrière, à l'été 2006. Véronique, 38 ans, son mari Jean-Louis, 40, et leurs deux garçons de 10 et 11 ans vivent à Séoul. Jean-Louis est un ingénieur dans une société d'équipement automobile et Véronique est mère au foyer.",FBF79961,7996144067
7996163620.wav,French,Female,Belgium,"Ça fait quatre ans qu'ils sont expatriés, ça leur va bien. Ils ont une vie sociale remplie, ils ont des amis, ils font des activités. Mais par contre, ils tiennent à rentrer tous les étés en France, en Touraine, plus exactement. Ils sont tous les deux originaires de cette région. Et l'été 2006 ne fait pas exception. Toute la famille est en France pour les vacances.",FBF79961,7996163620
7996124253.wav,French,Female,Belgium,"Mais des impératifs professionnels de dernière minute obligent Jean-Louis à retourner en Corée. C'est l'affaire de quelques jours, il arrive aux alentours du 20 juillet et contre-partir le 26. Et alors qu'il finalise les préparatifs de son départ, il reçoit d'un ami un colis de poisson, plusieurs macros frais, qui décide de congeler dans la foulée.",FBF79961,7996124253
7996186531.wav,French,Female,Belgium,"Alors il se dirige vers l'arrière-cuisine de sa maison et il tente de trouver une place pour les poissons dans l'un des tiroirs du congélateur. Les trois premiers sont pleins, il en trouve un sac plastique situé dans le quatrième tiroir du congélateur. Il lui faut quelques minutes pour réaliser ce qu'il est en train d'observer, pour réaliser que ce sont bien deux petits corps qui sont coincés dans le tiroir.",FBF79961,7996186531
7996126854.wav,French,Female,Belgium,"Paniqué, il appelle immédiatement la police de Séoul. A aucun moment, Jean-Louis Courjault n'imagine que ses enfants puissent être les siens. Quand la police coréenne lui demande l'autorisation pour un prélèvement ADN, il accepte sans hésiter. Il a rien à cacher. Sa seule exigence, pouvoir rejoindre sa famille en France. Le 26 juillet, la Corée le laisse quitter le territoire, ne pouvant le retenir le temps que les analyses aient lieu.",FBF79961,7996126854
7996111062.wav,French,Female,Belgium,"Les résultats des tests ADN tombent deux jours plus tard. Jean-Louis Courjault est bien le père biologique des deux nouveaux-nés retrouvés à Séoul. Les enquêteurs coréens retournent chez les Courjault pour saisir des objets appartenant à Véronique. Une brosse à cheveux, une brosse à dents. Et là aussi les analyses ADN sont formelles. Non seulement les nourrissants étaient vivants à leur naissance, mais Véronique Courjault est bien la mère biologique des enfants.",FBF79961,7996111062
7996176513.wav,French,Female,Belgium,"Le couple apprend par la presse les résultats de ces tests. Dans le clan Courjault, c'est la consternation. Alors que l'avocate du couple exige des contre-expertises en France, cette fois, Véronique et Jean-Louis sont contraints par la pression médiatique d'organiser une conférence de presse dans les bureaux de leur avocat.",FBF79961,7996176513
7996199541.wav,French,Female,Belgium,"Vous imaginez un animal pris dans les phares d'une voiture? C'est l'effet que donne l'image du couple devant les journalistes. Pour les Courjault, cette conférence de presse est un moyen de faire part de leur consternation. Ils ne sont pas les parents des bébés. C'est impensable, c'est impossible. Non seulement Véronique a subi une hystérectomie en 2003, mais en plus personne, personne n'a vu Véronique Courjault enceinte depuis la naissance de ses garçons il y a une dizaine d'années.",FBF79961,7996199541
7996154756.wav,French,Female,Belgium,"Tous les témoignages le confirment. Mais alors comment expliquer les résultats des tests ADN? Pour reprendre les mots d'Arthur Conan Doyle, lorsque vous avez éliminé l'impossible, ce qui reste, si improbable soit-il, est nécessairement la vérité.",FBF79961,7996154756
7996116018.wav,French,Female,Belgium,"Quelques semaines plus tard, le 10 octobre 2006, les résultats des tests génétiques pratiqués par les scientifiques français confirment que les époux Courjault sont bien les parents biologiques des nourrissons. Le 12 octobre, Véronique Courjault cède. Elle abandonne, elle s'abandonne et elle avoue le meurtre de ses deux bébés.",FBF79961,7996116018
7996176145.wav,French,Female,Belgium,"Elle en confesse aussi un troisième. Pour bien comprendre la violence des réactions publiques et médiatiques qui vont suivre ses confessions, il faut revenir sur l'origine du crime et sa nature d'une absolue transgression.",FBF79961,7996176145
7996164257.wav,French,Female,Belgium,"Infanticide, c'est un mot qui vient du latin. Ça veut dire tuer un enfant, littéralement. Lorsqu'il s'agit d'un nouveau-né, on parle de néonaticide. Contrairement à ce qu'on pourrait croire, l'infanticide n'a pas toujours été punie par la loi. Jusqu'au Moyen-Âge, il n'est même pas considéré comme un crime. C'est une pratique qui est disons tolérée.",FBF79961,7996164257
7996190005.wav,French,Female,Belgium,"Parce que la place de l'enfant dans la famille et la société n'est pas du tout la même qu'aujourd'hui. Et puis surtout parce qu'elle permet une certaine régulation démographique. Ce n'est pas très heureux dit comme ça, mais la période était prompte au pragmatisme.",FBF79961,7996190005
7996198108.wav,French,Female,Belgium,"Au-delà de constituer un crime de sang, l'infanticide est donc perçu comme un péché absolu. Et cette perception a laissé d'infimes, d'imperceptibles traces encore aujourd'hui d'une certaine façon. On n'est plus susceptible d'être assassiné le jour de sa naissance que tout autre jour de sa vie, disait le psychiatre américain Philippe Resnick.",FBF79961,7996198108
7996161268.wav,French,Female,Belgium,"Et jusqu'au 19e siècle en Europe, l'infanticide est encore relativement courant. Il représente environ 30% des crimes de sang. C'est-à-dire qu'à cette époque, un peu moins d'un meurtre sur trois concerne un enfant. Ce chiffre qui est terrifiant montre bien que la définition de ce qui fait crime est subjective, que ça varie d'une époque à une autre, d'une société à une autre.",FBF79961,7996161268
7996128286.wav,French,Female,Belgium,"Si on dénombre moins d'infanticides aujourd'hui qu'au 18e et au 19e siècle, la raréfaction de ce type de meurtre a accentué et individualisé la responsabilité de leurs auteurs. Il ne s'agit plus d'un phénomène de société, comme ça a pu être le cas entre les années 1800 et 1900, mais bien d'individus déviants, maléfiques, monstrueux. D'autant plus qu'il s'agit, en termes de néonaticides, presque toujours de femmes.",FBF79961,7996128286
7996168535.wav,French,Female,Belgium,"Alors même que la délinquance des femmes est, statistiquement, beaucoup moins importante que celle des hommes, l'infanticide et particulièrement le néonaticide semblent constituer uniquement des crimes de femmes.",FBF79961,7996168535
7996184384.wav,French,Female,Belgium,"Elle raconte qu'elle a étouffé ses nouveaux-nés immédiatement après leur naissance, qu'elle les a ensuite placés dans son congélateur, parce qu'elle ne pouvait quand même pas les mettre à la poubelle. Elle raconte aussi qu'il ne s'agissait pas de son premier meurtre, qu'elle l'avait déjà tué une première fois, en France en 1999. Le corps de ce bébé, elle l'avait fait brûler une nuit dans la cheminée de la maison.",FBF79961,7996184384
7996155001.wav,French,Female,Belgium,"Elle raconte que personne n'en a jamais rien su. Mais Véronique Courjault raconte ces crimes plus qu'à ne les expliquer. Quand les enquêteurs lui demandent pourquoi, ses réponses sont plus confuses, sont moins sûres. Elle dit Je ne voulais plus d'autres enfants.",FBF79961,7996155001
7996139599.wav,French,Female,Belgium,"C'est quelque chose qu'on retrouve vraiment de manière impressionnante. Les titres des journaux à propos de la plupart de ces affaires vont aller chercher aussi dans ce vocabulaire, le crime du silence, beaucoup d'expression autour de cette incapacité à parler, à s'exprimer, à communiquer. Donc il y a plusieurs explications pour ça.",FBF79961,7996139599
7996129553.wav,French,Female,Belgium,"Elle confirme qu'une fois, en 1999, son mari lui avait bien demandé, après avoir remarqué des rondeurs plus marquées que d'habitude, si elle n'était pas enceinte. Elle avait répondu que non. Peut-être qu'il aurait pu insister. Mais il n'avait jamais reposé la question.",FBF79961,7996129553
7996199399.wav,French,Female,Belgium,"Les médias continuent de s'interroger sur les secrets d'un crime qui n'en finit pas de bousculer la société. La répulsion de l'opinion publique pour Véronique Courjault provient autant de l'absence de réponse d'évidence dans la justification du crime donné par la coupable que par le miroir déformant et détestable que cette femme renvoie. Henri Leclerc, l'un des avocats de Véronique, dira Ce n'est pas d'une femme monstrueuse, c'est d'une femme douloureuse.",FBF79961,7996199399
